id,time0
r_0001,0
r_0002,0
r_0003,0
r_0004,0.003148453
r_0005,0.548980303
r_0006,0.234134983
r_0007,0
r_0008,0
r_0009,5.75E-08
r_0010,0
r_0011,1.934348695
r_0012,0
r_0013,-0.31484539
r_0014,0.234134983
r_0015,0
r_0016,0
r_0017,-0.00104947
r_0018,-3.44E-08
r_0019,5.75E-08
r_0020,-0.00314841
r_0021,0.01
r_0022,0.321142226
r_0023,0
r_0024,0
r_0025,0
r_0026,0
r_0027,-4.30E-08
r_0028,-0.005247393
r_0029,0
r_0030,-0.234134983
r_0031,0
r_0032,2.84E-08
r_0033,0
r_0034,1.44
r_0035,0
r_0036,1.71E-12
r_0037,0.314845351
r_0038,0
r_0039,0
r_0040,1.71E-12
r_0041,0
r_0042,0
r_0043,4.472552874
r_0044,3.01E-23
r_0045,0
r_0046,0
r_0047,0
r_0048,0
r_0049,0.548980303
r_0050,0.15742266
r_0051,-0.31484539
r_0052,-0.234134983
r_0053,0.152684358
r_0054,0
r_0055,0
r_0056,0
r_0057,0.314845365
r_0058,0
r_0059,-1.19E-08
r_0060,0
r_0061,0
r_0062,0
r_0063,0.234134983
r_0064,0
r_0065,0.31484539
r_0066,-0.003148256
r_0067,0
r_0068,0
r_0069,-0.314845373
r_0070,-0.314845325
r_0071,0.006296906
r_0072,0
r_0073,0
r_0074,0
r_0075,0.32114226
r_0076,0.548980303
r_0077,0
r_0078,0
r_0079,0
r_0080,0
r_0081,-1.29E-08
r_0082,0.003148453
r_0083,-0.31484542
r_0084,-0.234134983
r_0085,0
r_0086,0
r_0087,5.75E-08
r_0088,0.003148453
r_0089,2.22E-08
r_0090,0
r_0091,0
r_0092,1.448676039
r_0093,-0.01
r_0094,0
r_0095,1.102346056
r_0096,8.60E-09
r_0097,-0.31324091
r_0098,-3.44E-08
r_0099,0
r_0100,-0.00314841
r_0101,0.32114226
r_0102,0
r_0103,0
r_0104,0
r_0105,0
r_0106,0
r_0107,0
r_0108,-4.90E-07
r_0109,-1.19E-08
r_0110,0
r_0111,0
r_0112,0
r_0113,-0.302251575
r_0114,-3.27E-14
r_0115,-0.314845361
r_0116,0
r_0117,1.80E-08
r_0118,0
r_0119,0
r_0120,-1.19E-08
r_0121,0
r_0122,0
r_0123,1.49E-08
r_0124,0.548980303
r_0125,-0.00104947
r_0126,0
r_0127,0
r_0128,0
r_0129,0.003148453
r_0130,-0.234134983
r_0131,0.32114226
r_0132,1.271975044
r_0133,3.842862123
r_0134,0.01
r_0135,0
r_0136,0.234134983
r_0137,0.314845351
r_0138,0.012593813
r_0139,0.548980303
r_0140,0.080710803
r_0141,0.012593813
r_0142,0.640679774
r_0143,-3.51E-08
r_0144,0
r_0145,0.152684365
r_0146,0.01
r_0147,0.152684358
r_0148,0.548980303
r_0149,0.787500691
r_0150,0.548980303
r_0151,0
r_0152,0
r_0153,0
r_0154,0
r_0155,0.003148453
r_0156,0
r_0157,0
r_0158,0
r_0159,0
r_0160,0.003148453
r_0161,0
r_0162,0.548980303
r_0163,-0.314845361
r_0164,0
r_0165,0
r_0166,0
r_0167,0.548980303
r_0168,0
r_0169,0
r_0170,2.04E-07
r_0171,0
r_0172,0.01
r_0173,0.548980303
r_0174,0.31484542
r_0175,0
r_0176,0
r_0177,1.80E-08
r_0178,-4.90E-07
r_0179,0.548980303
r_0180,0.314845363
r_0181,1.72E-08
r_0182,0.548980303
r_0183,0.548980303
r_0184,0
r_0185,5.75E-08
r_0186,0
r_0187,0
r_0188,0
r_0189,0
r_0190,1.204105315
r_0191,0.548980303
r_0192,0
r_0193,6.34E-19
r_0194,0.34003299
r_0195,0
r_0196,1.204105344
r_0197,-0.005247393
r_0198,0
r_0199,0.548980303
r_0200,-2.843795748
r_0201,-0.003148453
r_0202,0
r_0203,0
r_0204,4.45E-11
r_0205,0
r_0206,0
r_0207,0.003148453
r_0208,0.166868036
r_0209,-0.314845345
r_0210,-3.51E-08
r_0211,0
r_0212,0.548980303
r_0213,0
r_0214,-0.234134983
r_0215,0.314845361
r_0216,0
r_0217,0
r_0218,0
r_0219,2.22E-08
r_0220,-4.307624013
r_0221,0.548980303
r_0222,1.204105344
r_0223,0
r_0224,0.320092495
r_0225,0
r_0226,-4.90E-07
r_0227,0
r_0228,0
r_0229,0
r_0230,0
r_0231,0.32114226
r_0232,0.32114226
r_0233,0
r_0234,0
r_0235,0.548980303
r_0236,0
r_0237,0
r_0238,0
r_0239,1.38E-08
r_0240,0.548980303
r_0241,0.234134983
r_0242,0.548980303
r_0243,0.32114226
r_0244,0
r_0245,-0.234134983
r_0246,7.78E-09
r_0247,0.003148453
r_0248,0.548980303
r_0249,0.003148453
r_0250,0
r_0251,0
r_0252,0.003148453
