id,time0
r_0001,0
r_0002,0
r_0003,0
r_0004,0.007781955
r_0005,0.778195489
r_0006,0
r_0007,0.00E+00
r_0008,0
r_0009,0.00E+00
r_0010,0.00E+00
r_0011,5.130864662
r_0012,0.00E+00
r_0013,-0.778195489
r_0014,0.00E+00
r_0015,0.00E+00
r_0016,0
r_0017,-0.002593985
r_0018,0
r_0019,0.00E+00
r_0020,-0.007781955
r_0021,0.01
r_0022,0.793759398
r_0023,0.00E+00
r_0024,0
r_0025,0.00E+00
r_0026,0
r_0027,0.00E+00
r_0028,-0.012969925
r_0029,0.00E+00
r_0030,0
r_0031,0
r_0032,0.00E+00
r_0033,0.00E+00
r_0034,1.44
r_0035,0.00E+00
r_0036,0.00E+00
r_0037,0.778195489
r_0038,0.00E+00
r_0039,0
r_0040,0.00E+00
r_0041,0.00E+00
r_0042,0
r_0043,7.003759398
r_0044,0.00E+00
r_0045,0.00E+00
r_0046,0
r_0047,0.00E+00
r_0048,-6.58E-16
r_0049,0.778195489
r_0050,0.389097744
r_0051,-0.778195489
r_0052,0.00E+00
r_0053,0
r_0054,0
r_0055,0.00E+00
r_0056,0
r_0057,0.778195489
r_0058,0.00E+00
r_0059,0.00E+00
r_0060,0.00E+00
r_0061,0
r_0062,1.56E+00
r_0063,0.00E+00
r_0064,0.00E+00
r_0065,0.778195489
r_0066,-0.007781955
r_0067,0
r_0068,0
r_0069,-0.778195489
r_0070,-0.778195489
r_0071,0.01556391
r_0072,0
r_0073,0.00E+00
r_0074,-2.66E-15
r_0075,0.793759398
r_0076,0.778195489
r_0077,0.00E+00
r_0078,-2.56E-32
r_0079,0
r_0080,-2.66E-15
r_0081,0
r_0082,0.007781955
r_0083,-0.778195489
r_0084,0
r_0085,0.00E+00
r_0086,0
r_0087,0.00E+00
r_0088,0.007781955
r_0089,1.25E-31
r_0090,0.00E+00
r_0091,0
r_0092,2
r_0093,-0.01
r_0094,-0.520977444
r_0095,2.679172932
r_0096,0.00E+00
r_0097,-0.788947368
r_0098,1.27E-16
r_0099,0
r_0100,-0.007781955
r_0101,0.793759398
r_0102,0.00E+00
r_0103,0.00E+00
r_0104,0
r_0105,0.00E+00
r_0106,0
r_0107,0.778195489
r_0108,0
r_0109,0.00E+00
r_0110,0
r_0111,0.00E+00
r_0112,1.38
r_0113,-0.747067669
r_0114,3.03E-32
r_0115,-7.78E-01
r_0116,0.00E+00
r_0117,0.00E+00
r_0118,0
r_0119,-1.195789474
r_0120,0.00E+00
r_0121,0.00E+00
r_0122,0.00E+00
r_0123,0.00E+00
r_0124,0.778195489
r_0125,-0.002593985
r_0126,0.778195489
r_0127,0.00E+00
r_0128,0.15518797
r_0129,0.007781955
r_0130,0.00E+00
r_0131,0.793759398
r_0132,3.143909774
r_0133,5.447368421
r_0134,0.01
r_0135,0.00E+00
r_0136,0.00E+00
r_0137,0.778195489
r_0138,0.03112782
r_0139,0.778195489
r_0140,0.778195489
r_0141,0.03112782
r_0142,1.598270677
r_0143,0.00E+00
r_0144,-4.08E-30
r_0145,0
r_0146,0.01
r_0147,0
r_0148,0.778195489
r_0149,0
r_0150,0.778195489
r_0151,0
r_0152,0
r_0153,4.72E-32
r_0154,0.00E+00
r_0155,0.007781955
r_0156,-1.38E-15
r_0157,1.55E-01
r_0158,3
r_0159,0
r_0160,0.007781955
r_0161,-3.10E-31
r_0162,0.778195489
r_0163,-0.778195489
r_0164,0.00E+00
r_0165,0.00E+00
r_0166,0
r_0167,0.778195489
r_0168,0.00E+00
r_0169,0.00E+00
r_0170,0.00E+00
r_0171,0.00E+00
r_0172,0.01
r_0173,0.778195489
r_0174,0.778195489
r_0175,0.00E+00
r_0176,0.00E+00
r_0177,0.00E+00
r_0178,-6.58E-16
r_0179,0.778195489
r_0180,0.778195489
r_0181,1.54E-31
r_0182,0.778195489
r_0183,0.778195489
r_0184,0.00E+00
r_0185,0.00E+00
r_0186,0.15518797
r_0187,0.00E+00
r_0188,0
r_0189,0.00E+00
r_0190,2.796278195
r_0191,0.778195489
r_0192,0
r_0193,-2.82E-32
r_0194,1.361428571
r_0195,0
r_0196,4.352669173
r_0197,-0.012969925
r_0198,0
r_0199,0.778195489
r_0200,-6.814736842
r_0201,-0.007781955
r_0202,6.58E-16
r_0203,0.00E+00
r_0204,0
r_0205,0
r_0206,-1.27E-16
r_0207,0.007781955
r_0208,0.412443609
r_0209,-0.778195489
r_0210,0.00E+00
r_0211,0.00E+00
r_0212,0.778195489
r_0213,0.00E+00
r_0214,0
r_0215,0.778195489
r_0216,0
r_0217,-2.66E-15
r_0218,0
r_0219,4.45E-30
r_0220,-8.63962406
r_0221,0.778195489
r_0222,4.352669173
r_0223,0.00E+00
r_0224,0.791165414
