id,time0
r_0001,0
r_0002,0
r_0003,-1.10E-31
r_0004,0
r_0005,-1.01E-31
r_0006,2.61E-31
r_0007,1.78E-39
r_0008,0
r_0009,0.168307088
r_0010,-3.38E-24
r_0011,2.004196277
r_0012,-3.39E-09
r_0013,-0.204241993
r_0014,2.74E-31
r_0015,0
r_0016,0
r_0017,-0.010893647
r_0018,0
r_0019,0.168307088
r_0020,4.63E-25
r_0021,0.006
r_0022,0.158643016
r_0023,0
r_0024,0.575801317
r_0025,0
r_0026,0
r_0027,0
r_0028,-0.147480815
r_0029,0
r_0030,-3.84E-31
r_0031,0
r_0032,0.035118292
r_0033,0
r_0034,1.44
r_0035,-3.39E-09
r_0036,0
r_0037,0.090512546
r_0038,0.125693517
r_0039,0
r_0040,0
r_0041,0
r_0042,0
r_0043,0.325310782
r_0044,-6.78E-09
r_0045,0
r_0046,0
r_0047,-6.78E-09
r_0048,0
r_0049,-4.14E-31
r_0050,0
r_0051,-0.204241993
r_0052,-4.39E-31
r_0053,0.527658505
r_0054,0
r_0055,-3.39E-09
r_0056,0
r_0057,0.130813752
r_0058,0
r_0059,0
r_0060,0.125693517
r_0061,-8.65E-30
r_0062,0
r_0063,4.39E-31
r_0064,0.125693517
r_0065,0.206957729
r_0066,-0.075547901
r_0067,0
r_0068,0
r_0069,-0.053146177
r_0070,-0.014044973
r_0071,0
r_0072,0
r_0073,0.034850633
r_0074,-6.59E-14
r_0075,0.22452293
r_0076,2.96E-31
r_0077,0.125913177
r_0078,0
r_0079,0
r_0080,-0.100730544
r_0081,-0.037823673
r_0082,0
r_0083,-0.293505098
r_0084,-2.20E-31
r_0085,-6.78E-09
r_0086,0
r_0087,0.168307088
r_0088,0
r_0089,0.065076538
r_0090,0.002808995
r_0091,0
r_0092,0.634128587
r_0093,-0.006
r_0094,-0.127976357
r_0095,0.617686994
r_0096,0.025182636
r_0097,-0.045975001
r_0098,0.025182629
r_0099,0
r_0100,5.49E-25
r_0101,0.22452293
r_0102,0.125693517
r_0103,0.034850633
r_0104,0
r_0105,-1.28E-29
r_0106,-8.36E-14
r_0107,0
r_0108,-8.73E-28
r_0109,0
r_0110,0
r_0111,0
r_0112,0.334873737
r_0113,-0.198367824
r_0114,-1.78E-39
r_0115,-0.171839437
r_0116,0
r_0117,0.052854041
r_0118,-1.78E-39
r_0119,0
r_0120,0
r_0121,-3.39E-09
r_0122,0.125693517
r_0123,0.043604584
r_0124,1.98E-31
r_0125,-0.010893647
r_0126,0
r_0127,0
r_0128,-1.39E-27
r_0129,0
r_0130,-5.66E-31
r_0131,0.22452293
r_0132,0.92350414
r_0133,6.37E-31
r_0134,0.006
r_0135,0.034850633
r_0136,2.20E-31
r_0137,0.090512546
r_0138,0
r_0139,0
r_0140,1.365171348
r_0141,0
r_0142,0.321294658
r_0143,0.022793305
r_0144,2.08E-31
r_0145,0.547939445
r_0146,0.006
r_0147,0.527658505
r_0148,-2.96E-31
r_0149,0.024023148
r_0150,-3.95E-31
r_0151,-1.25E-23
r_0152,0
r_0153,0
r_0154,-1.22E-29
r_0155,3.39E-09
r_0156,0
r_0157,-1.39E-27
r_0158,0
r_0159,0
r_0160,0
r_0161,-1.78E-39
r_0162,3.11E-31
r_0163,-0.121068788
r_0164,0.034850633
r_0165,0
r_0166,0
r_0167,-1.04E-31
r_0168,-3.39E-09
r_0169,0
r_0170,0
r_0171,2.05E-29
r_0172,0.006
r_0173,0
r_0174,0.293505098
r_0175,0
r_0176,0
r_0177,0.052854041
r_0178,0.100730544
r_0179,-3.03E-31
r_0180,0.12519801
r_0181,0.151095816
r_0182,-3.95E-31
r_0183,1.04E-31
r_0184,0.034850633
r_0185,0.168307088
r_0186,-1.39E-27
r_0187,-1.78E-39
r_0188,0
r_0189,0
r_0190,0.888453513
r_0191,1.01E-31
r_0192,0
r_0193,0
r_0194,0.25879011
r_0195,0
r_0196,0.973515486
r_0197,-0.147480822
r_0198,-1.25E-23
r_0199,-1.98E-31
r_0200,-3.196743821
r_0201,-3.39E-09
r_0202,0
r_0203,-3.39E-09
r_0204,0
r_0205,0
r_0206,0
r_0207,0
r_0208,0.677922313
r_0209,-0.073427124
r_0210,0.022793305
r_0211,0
r_0212,0
r_0213,0
r_0214,-2.20E-31
r_0215,0.121068788
r_0216,0
r_0217,-6.59E-14
r_0218,0
r_0219,0.065076538
r_0220,-3.560445569
r_0221,-4.04E-31
r_0222,0.973515486
r_0223,0
r_0224,0.161525788
r_0225,0
r_0226,-3.38E-24
r_0227,0
r_0228,0
r_0229,0
r_0230,-7.96E-32
r_0231,0.22452293
r_0232,0.22452293
r_0233,0
r_0234,-6.59E-14
r_0235,3.03E-31
r_0236,-1.43E-23
